Dataset,tid,model,metric,metric_error,metric_error_val
credit_card_clients_default,363627,LR (tuned),roc_auc,0.2535734776737244,0.2573628221792511
customer_satisfaction_in_airline,363628,LR (tuned),roc_auc,0.03496251400275863,0.035730906624492076
diabetes,363629,LR (tuned),roc_auc,0.17376171352074965,0.17107918993473725
diamonds,363631,LR (tuned),rmse,1142.8162278223188,1126.4625119487469
hazelnut-spread-contaminant-detection,363674,LR (tuned),roc_auc,0.057387500000000036,0.044906250000000036
healthcare_insurance_expenses,363675,LR (tuned),rmse,5585.882360476944,6330.211327629374
heloc,363676,LR (tuned),roc_auc,0.21502369855699188,0.21379916227401796
hiva_agnostic,363677,LR (tuned),log_loss,0.3249020576477051,0.35815203189849854
houses,363678,LR (tuned),rmse,0.3217970268292019,0.32677145693132026
in_vehicle_coupon_recommendation,363681,LR (tuned),roc_auc,0.2531301768616633,0.2718665309915117
jm1,363712,LR (tuned),roc_auc,0.2667521270186115,0.28238409981831036
kddcup09_appetency,363683,LR (tuned),roc_auc,0.1882315313592039,0.18701252445296945
maternal_health_risk,363685,LR (tuned),log_loss,0.7722097635269165,0.7936410307884216
miami_housing,363686,LR (tuned),rmse,174817.05242957015,175898.73940295703
online_shoppers_intention,363691,LR (tuned),roc_auc,0.09809121126209797,0.08355284358559356
physiochemical_protein,363693,LR (tuned),rmse,5.147523862563759,5.203740944238039
polish_companies_bankruptcy,363694,LR (tuned),roc_auc,0.11122426069664504,0.11419246100485425
qsar-biodeg,363696,LR (tuned),roc_auc,0.07902044938146935,0.07807157925365538
seismic-bumps,363700,LR (tuned),roc_auc,0.2251062438705459,0.2525286414361694
splice,363702,LR (tuned),log_loss,0.13420340418815613,0.16532006859779358
students_dropout_and_academic_success,363704,LR (tuned),log_loss,0.5761099457740784,0.555404782295227
superconductivity,363705,LR (tuned),rmse,17.414188429535745,17.438237511991037
taiwanese_bankruptcy_prediction,363706,LR (tuned),roc_auc,0.05871731008717307,0.06648542572291471
website_phishing,363707,LR (tuned),log_loss,0.33630067110061646,0.3687952756881714
wine_quality,363708,LR (tuned),rmse,0.7119148484120975,0.7391219485254102
APSFailure,363616,REALMLP_GPU (default),roc_auc,0.007565759078617451,0.011165017225867269
Amazon_employee_access,363613,REALMLP_GPU (default),roc_auc,0.15572389355821548,0.19866066653056758
Another-Dataset-on-used-Fiat-500,363615,REALMLP_GPU (default),rmse,711.3060085065583,757.7862372987148
Bank_Customer_Churn,363619,REALMLP_GPU (default),roc_auc,0.12769027233468955,0.1354957310109618
